Name,PortraitURL,Biography
"Wyatt Blassingame (February 6, 1909&ndash;January 8, 1985)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/blasswr.jpg,"Wyatt Blassingame was born in Demopolis, Ala. He attended Howard College (now Samford University) in Birmingham, Ala., for two years, then transferred to the University of Alabama. After graduating in 1930 with an AB degree, Blassingame worked for a year as a police reporter for <em>The Montgomery Advertiser</em>. He then enrolled in a graduate program at the University of Alabama but left in 1933 without writing a thesis. Blassingame spent some time travelling on freighters before moving to New York City to live with his brother Lurton, who was a literary agent. In New York, Blassingame focused on his writing and began selling short stories to mystery magazines. </p>
<p>Blassingame married in 1936 and moved with his new family to Anna Maria, a small island off the coast of Florida. From 1948 to 1951, Blassingame was a writing instructor at Florida Southern College in Lakeland, Fla. Later in his career, he also taught at Manatee Junior College (now Manatee Community College). Blassingame's first book, a collection of mystery stories, was published in 1944. The first of his four novels, <em>For Better, For Worse</em>, was published in 1951. Two years later, he published the first of his many children's books. Blassingame also continued to write articles and short stories which appeared in national newspapers and magazines through the 1970s. He died in Bradenton, Fla., in 1985."
"Arna Bontemps (October 12, 1902&ndash;June 4, 1973)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/bontear.jpg,"Arna Bontemps was born in the rural community of Alexandria, La. When he was four, Bontemps’s family moved to southern California. Bontemps did well in school there and read voraciously. He attended the San Fernando Academy and majored in English at Pacific Union College. After graduating in 1923 with an AB degree, Bontemps worked at the Los Angeles Post Office and wrote poetry in his spare time. After one of his poems was published in <em>The Crisis</em> in 1924, Bontemps moved to New York City. He btained a teaching job at Harlem Academy and made connections with the writers, artists, and musicians of the Harlem Renaissance. In 1926 and 1927, his poems won prizes sponsored by <em>Opportunity</em> and <em>The Crisis</em> magazines. Bontemps married in 1926, and the first of his six children was born the following year. His first novel <em>God Sends Sunday</em> was published in 1931. Harlem Academy closed that year, and Bontemps accepted a position at Oakwood College in Huntsville, Ala. His first children’s books, <em>Popo and Fifina</em> (a collaboration with Langston Hughes) and <em>You Can’t Pet a Possum</em>, were published while he was in Alabama. Bontemps had difficulties with college administrators who thought he was a radical. He resigned in 1934 and moved his family to California where they lived for a year with his father. </p>
<p>In 1935, Bontemps sold his novel <em>Black Thunder</em> (published in 1936) and moved with his family to Chicago. He was principal of Shiloh Academy until 1937, when he obtained a fellowship from the Julius Rosenwald Fund to do research in the Caribbean. (His novel <em>Drums at Dusk</em> was published in 1939.) On his return, he worked for the WPA Federal Writer’s Project in Chicago. In 1942, Bontemps enrolled in library school at the University of Chicago, supporting his family with a second Rosenwald Fund fellowship. He accepted a position at Fisk University in Nashville, Tenn., in 1943. For the next twenty-three years, Bontemps was Head Librarian at Fisk, using his Harlem Renaissance connections to acquire materials by and about black writers, artists, and musicians. He also taught creative writing classes and continued his own writing, publishing nonfiction books for adults and both fiction and nonfiction books for children. Some of these works were collaborations with writers Langston Hughes and Jack Conroy. Bontemps also edited anthologies of black poetry and folklore, often in collaboration with Hughes. He also received Carnegie and Guggenheim research grants. In 1966, the University of Illinois at Chicago Circle recruited Bontemps to teach American literature. In his second year there, he suffered a stroke and had to return to Nashville. After recovering, he taught at Yale University for two years. In 1971, Bontemps returned to Nashville to become Writer-in-Residence at Fisk. He began doing research for an autobiography but never began writing it. He died of a heart attack in Nashville in 1973 and is buried there."
"Rick Bragg (July 26, 1959&ndash;present)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/braggri.jpg,"Rick Bragg was born in Piedmont, Ala. His parents’ marriage was troubled, and the family moved frequently. Eventually, Bragg and his mother and brothers moved into his grandmother’s house near Possum Trot, Ala. Although an average student, Bragg read extensively as a boy. He began his writing career working for his high school newspaper, then wrote for his college newspaper while enrolled in a journalism class at Jacksonville State University. He left JSU to write about sports for <em>The Jacksonville News</em>. After leaving that position, he worked for <em>The Anniston Star</em> and <em>The Birmingham News</em>. From there, Bragg took a job with the <em>St. Petersburg [Fla.] Times</em>, where he covered stories of national interest, including the devastation caused by Hurricane Andrew and the turmoil associated with the rise of Jean-Bertrand Aristide in Haiti. </p>
<p>In 1992, Bragg was awarded a Neiman Fellowship to study journalism at Harvard University for a year. In 1994, he began working as a reporter for the <em>New York Times</em>, initially based in New York but soon working as a national correspondent in the Southern Bureau from Atlanta. Bragg won the Pulitzer Prize in 1996 for his human interest stories published in the <em>The New York Times</em>. His first book, the autobiographical <em>All Over But the Shoutin’</em>, was published in 1997. Bragg continued to report for the <em>The New York Times</em> and to write books on the side until 2003, when he resigned from the newspaper to write books exclusively. He resides in Tuscaloosa and is a Professor of Journalism at the University of Alabama."
"Joe David Brown (May 12, 1915&ndash;April 22, 1976)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/brownjd.jpg,"Joe David Brown was born and raised in Birmingham, Ala. As a young man, he worked as a reporter for the <em>Birmingham Post</em>, and, at the age of twenty-one, he became the city editor of the <em>Dothan Eagle</em>. Later, Brown worked for newspapers in Atlanta, Chattanooga, and St. Louis before joining the staff of the <em>New York Daily News</em> in 1939. During World War II, Brown served in the US Army as a paratrooper. After the war, he returned to the <em>Daily News</em> briefly. He also began publishing short stories and freelance articles in popular magazines such as <em>The Saturday Evening Post</em>. </p>
<p>Brown’s first novel, <em>Stars in My Crown</em>, was published in 1946 and was based on one of his short stories, “Grandpa and the Miracle Grindstone.” He also wrote the screenplay for the movie version which was released in 1950. In 1949, Brown became a foreign correspondent for <em>Time</em> magazine. He reported from Asia and Europe until 1957 when he left <em>Time</em> to become a freelance writer. Two more of Brown's novels were made into movies. <em>Kings Go Forth</em> was released in 1958, and <em>Addie Pray</em> was released in 1973 under the title <em>Paper Moon</em>. Brown continued to publish articles and short stories in popular magazines, including <em>Sports Illustrated</em>. He died of a heart attack at his home near Mayfield, Ga."
"Mary Ward Brown (June 18, 1917&ndash;present)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/brownmw.jpg,"Mary Ward Brown was born and raised in Hamburg, Ala., where her parents had a large farm. Although there were not a lot of books at home, her father was on the school board and would borrow books from the school superintendent for her. Brown enjoyed writing as a youth and was editor of her high school newspaper. She attended Judson College, studying English and journalism, and was editor of the college newspaper. After graduating with an AB degree in 1938, Brown became the publicity director for Judson but left in 1939 when she married and moved to Auburn, Ala., with her husband. Seven years later, Brown’s father died, and she and her husband moved back to Hamburg to manage the family farm. </p>
<p>Brown had begun to write short stories in Auburn and continued after the move to Hamburg. Although several of her stories were published in the early 1950s, the pressures of running the farm and raising her son led her to stop writing. She did take creative writing courses during this period, though, including one from the University of Alabama. After the death of her husband in the early 1970s, Brown began writing again. In 1978, she published a story in <em>McCall's</em> magazine. She continued to publish her stories in popular and literary magazines, and a collection of stories was published in 1986 as <em>Tongues of Flame</em>. In the mid-1980s, one of Brown’s stories, ""The Cure,"" was included in an anthology of American and Russian writers, and she toured the Soviet Union with the other American authors from the project. A second collection of her stories was published in 2002. Brown continues to live and write in Hamburg."
"Virginia Pounds Brown (May 29, 1916&ndash;present)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/VBrown.jpg,"Virginia Pounds Brown was born and grew up in Birmingham, Ala. She attended Randolph-Macon Woman’s College (now Randolph College) in Lynchburg, Va., graduating with an AB in 1937. The following year, she took graduate courses at Vanderbilt University in Nashville, Tenn. Brown worked as a library assistant at the Birmingham Public Library from 1938 to 1941. She decided to attend library school and graduated from Emory University with an MLS in 1942. From 1942 to 1944, Brown was a reference librarian at Birmingham-Southern College and served as the director of the library from 1944 to 1948. From 1954 to 1976, Brown and her husband owned and operated a bookstore in Birmingham. </p>
<p>Brown’s first book, co-written with Helen Morgan Akens, was a history of Alabama for young readers and was published in 1962. While researching this book, Brown became interested in the history of Indian tribes in Alabama. She and Laurella Owens co-wrote two nonfiction children’s books about Southeastern Indians. Her two children’s books of historical fiction explore the interaction between Indians in Alabama and the Spanish conquistadors. Brown also co-wrote a biography of Alabama folklorist <a href=""http://media.cla.auburn.edu/goodlyland/author.cfm?AuthorID=125"">Ruby Pickens Tartt</a> and co-edited several historical publications, including <em>Mary Gordon Duffee’s Sketches of Alabama</em> and George Stiggins’ <em>Creek Indian History</em>. In 2003, her memoir <em>Mother & Me</em> was published. Brown lives in Birmingham."
"Darren J. Butler (September 20, 1967&ndash;Present)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/darrenbutler.jpg,"As an author, Butler has written four books in the <em>Abbie, Girl Spy</em> series - <em>The Case of the Missing Locket</em>, <em>The Ducks and Diamonds Mystery</em>, <em>The Secret of Crybaby Hollow</em>, and <em>The Masterpiece</em>. Additionally, he published a children’s fantasy novel entitled <em>Merlin’s Curse</em> and <em>Helen Keller - Leader Without Sight or Sound</em> for Seacoast Publishing. His professional book <em>Countdown to Assessment</em> trained teachers how to prepare students for the Alabama Direct Assessment on Writing for 5th, 7th, and 10th grade students. In addition to his books, Butler published two monologues in <em>Contemporary Monologues for Women II</em>. In July, 2013, Butler released <em>RIP & Write - Integrating Reading Comprehension and Writing Using Common Core</em>. His novel, <em>A Whistle in the Night</em> has just been released along with his first picture book, <em>Excuse Me! There’s a Monster in My Closet!</em></p>

<p>Butler co-wrote a teleplay with Caroline Self (<em>Real Housewives of New Jersey</em>, <em>Project Runway</em>, <em>Hell’s Kitchen</em>) entitled Succession. The project was optioned by NBC/Universal for the USA Network.</p>

<p>In 2008, Butler wrote and directed a short film entitled, <em>A Fix</em> starring Emmy nominee Julianna Mauriello (<em>Nickelodeon’s Lazytown</em>) and film actress Skye Bartusiak (<em>The Patriot</em>, <em>Love Comes Softly</em>, <em>Against the Ropes</em>, <em>House</em>, <em>Frasier</em>). The short filmed premiered at the Sidewalk Film Festival in Birmingham.</p>

<p>Butler is the playwright behind many original plays and musicals as well as adaptions. In 2006, he partnered with award winning song writer and vocalist Judy Rodman of Nashville to write <em>Runaway Home</em> and <em>We The People</em>.</p>

<p>Butler founded Virtual Village Classroom, an online curriculum resource for teachers, and serves as the CEO of Creative Development. He is married with four children. Butler is a member of the Writers Guild of America, the Authors Guild, and the Society of Children’s Book Writers & Illustrators. He is represented by Premiere Speakers."
"W. E. Butterworth/W. E. B. Griffin (November 10, 1929&ndash;present)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/buttewe.jpg,"William E. Butterworth was born in New Jersey and grew up in Boston, Philadelphia, and Manhattan. He joined the US Army in 1946 at age sixteen and was trained in counterintelligence. Butterworth served in Germany until released from active duty in 1947. He was studying political science in Germany when he was recalled to active duty to serve in the Korean War. While in Korea, he served as a combat correspondent. After his discharge from the Army in 1953, Butterworth worked at Ft. Rucker as a civilian information officer. He began writing novels during this time. His first novel, <em>Comfort Me with Love</em>, was published in 1960. After his third novel was published in 1962, Butterworth resigned from his job at Ft. Rucker to write full-time and moved to Fairhope, Ala. His first book for younger readers, <em>The Wonders of Astronomy</em>, was published in 1964. Butterworth has published over 125 novels and books for younger readers, under his own and numerous pen names. He divides his time between Fairhope and Buenos Aires, Argentina."
"Truman Capote (September 30, 1924&ndash;August 25, 1984)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/capottr.jpg,"Truman Capote was born in New Orleans but spent much of his childhood in the care of his mother's relatives in Monroeville, Ala. <a href=""http://media.cla.auburn.edu/goodlyland/author.cfm?AuthorID=19"">Harper Lee's</a> family lived next door, and the two grew up together and were lifelong friends. In 1933, Capote moved to New York to live with his mother and her second husband, who eventually adopted him. Capote always knew that he would become a writer and began writing stories as a child. He was encouraged in his ambitions by one of his high school teachers, Miss Catherine Wood. Capote decided not to attend college and got a job at <em>The New Yorker</em> magazine as a copyboy and messenger. <em>The New Yorker</em> refused to publish his short stories, but he was able to make helpful contacts in the New York literary world. Capote's big break came when <em>Mademoiselle</em> published his short story ""Miriam."" He obtained a residency at Yaddo, an artists’ and writers’ colony in upstate New York, where he worked on his writing and made more literary contacts. His first novel, <em>Other Voices, Other Rooms</em>, was published in 1948. </p>
<p>Capote had difficulty writing at his parents’ home in New York and began living and working in Europe for extended periods of time. He also experimented with different forms of writing. In addition to his short stories and novels, Capote wrote travel articles and portraits of celebrities for popular magazines which were later collected and published in book form. He adapted two of his stories for the stage and wrote the screenplay for the film <em>Beat the Devil</em>. In 1959, Capote saw a newspaper account of a set of murders in a small Kansas town. He thought the story would make a good subject for a type of work he called the ""nonfiction novel."" He and his friend <a href=""http://media.cla.auburn.edu/goodlyland/author.cfm?AuthorID=19"">Harper Lee</a> went out to Kansas to do research. The book that resulted from this work, <em>In Cold Blood</em>, took six years to complete. It was immensely successful and left him financially well off but emotionally depleted. He continued writing, but his work was less successful, impaired at least partially by drug and alcohol abuse. In the mid-1970s, <em>Esquire</em> published several chapters of a proposed new book to be called <em>Answered Prayers</em>. The characters were thinly disguised versions of Capote’s celebrity friends, who were outraged at the invasion of their privacy. Cast out of the ""jet set,"" he continued to work, but his abuse of drugs and alcohol caused both his writing and his health to deteriorate. While staying at the home of a friend, he died from complications of liver disease."
"Carl Carmer (October 16, 1893&ndash;September 11, 1976)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/carmeca.jpg,"Carl Carmer was born and raised in rural upstate New York. He graduated from Hamilton College in Clinton, N.Y., with a baccalaureate degree in 1914 and obtained an MA at Harvard University in 1915. Carmer then taught English at Syracuse University and the University of Rochester and served as an artillery instructor at Fort Sill, Okla., during World War I. From 1921 to 1927, Carmer taught English at the University of Alabama. He began studying Alabama, traveling around the state and making notes on the folklore and the people, intending to write a scholarly paper about what he observed. In 1927, Carmer left the university and took a job as columnist and reporter for the <em>New Orleans Item-Tribune</em>. The following year, he became an assistant editor at <em>Vanity Fair</em> in New York. In 1929, Carmer became an assistant editor at <em>Theatre Arts Monthly</em>. In 1930, he published a book of poetry based on Alabama locales called <em>Deep South</em>. </p>
<p>In 1933, Carmer lost his editing job and decided to focus on a prose book he was writing about his experiences in Alabama. Residencies at Yaddo and the MacDowell Colony helped support him during this period. <em>Stars Fell on Alabama</em> was published in 1934 and quickly became a bestseller. Similar books about New York State folklore followed, the first appearing in 1936. In 1937, Carmer told American folktales on a radio show called <em>Your Neck o’ the Woods</em> and published a collection of stories from that program, <em>The Hurricane’s Children</em>. In the late 1940s, Carmer began writing children’s books, many of which were illustrated by his wife Elizabeth. In addition to his writing, Carmer was editor for the <em>Rivers of America</em> and <em>Regions of America</em> series. He was involved with several professional organizations for writers and editors, served as a director of the American Civil Liberties Union, and was one of the founders of the Scenic Hudson Preservation Conference."
