Author_Name
"AARON, HENRY, 1934- ."
"BLACK, HUGO LAFAYETTE, JR., 1922-2013"
"BLACKFORD, RANDOLPH FAIRFAX, 1890-1975"
"BLACKMON, ROSS, 1877-1963"
"BLACKSHEAR, HELEN FRIEDMAN, 1911-2003"
"BLACKSTONE, JOHN HOMER, 1911-1983"
"BLACKWELL, ANNIE LOUISE, 1919-1977"
"BLAIR, ALGERNON, 1873-1952"
"BLAKE, WALKER E.  (Pseudonym)"
"BLAKELY, HUNTER BRYSON, 1894-1970"
"BLALOCK, DELTON DENNIS, 1940-"
"BLANDIN, ISABELLA MARGARET ELIZABETH JOHN, 1838 -1912"
"BLASSINGAME, WYATT RAINEY, 1909-1985"
"BLISS, ANDREW RICHARD, JR., 1887-1941"
"BLISS, LORETTA ANN DEERING, 1895-1970."
"BOATWRIGHT, RUTH FOREMAN, 1904-1980"
"BODDIE, JOHN BENNETT, JR., 1880-1965."
"BOEHLKE, FREDERICK JOHN, JR., 1926-"
"BOGGAN, LOUISE WARD, 1900-1980"
"BOGGS, JAMES, 1919-1993"
"BOHANNON, WILLIAM EVERETTE, 1882-1940"
"BOLES, WILLIAM J. , 1867-1945."
"BOLTON, CLYDE, 1936-"
"BOMAR, PAUL VERNON, 1863-1932"
"BOND, ALBERT RICHMOND, 1874-1944"
"BOND, GORDON CREWS, 1939-1997"
"BONI, MARGARET BRADFORD, 1893-1974"
"BONNER, CLINT, 1908-1966"
"BONNER, WILLIAM HOMER, 1924-2015"
"BONNIE, FREDERIC JOSEPH, 1945-2000."
"BOONE, LOUIS EUGENE, 1941-2005"
"BOOZER, CELINA LUZANNE, 1903-1982"
"BOSWELL, CHARLES A., 1916-1995"
"BOWEN, ROBERT A., 1898-1958"
"BOWEN, ROBERT OWEN, 1920-2003"
"BOYD, CHARLES E., 1922-1988"
"BOYD, MINNIE CLARE, 1898-1983"
"BOYKIN, MILTON LEE, 1935-"
"BRADFORD, QUEBE MERRITT"
"BRADLEY, BERT EDWARD, 1926-2006"
"BRADLEY, JAMES T., 1948-"
"BRADLEY, MICHAEL ANDERSON, 1944-"
"BRADLEY, VAN ALLEN, 1913-1984"
"BRAGG, RICK, 1959-"
"BRAGG, SHIRLEY, 1853-1908"
"BRANDON, MICHAEL"
"BRANNON, PETER ALEXANDER, 1882-1967"
"BRANSCOMB, BENNETT HARVIE, 1894-1998"
"BRANTLEY, MARY E., 1906-1982"
"BRANTLEY, WILLIAM HENDERSON, JR., 1898-1964"
"BRANYON, EDGAR WATTERSON, 1890-1982"
"BRASHER, NELL HUGHEY, 1912-1992"
"BRASHER, PHELAN BRIGHT, 1900-1994"
"BRATCHER, ALFRED LEWIS, 1905-1990"
"BRAUND, KATHRYN HOLLAND, 1955-"
"BRAUNE, ANNA PARKER, 1908-1988"
"BRAY, LIBBA, 1964-"
"BREEN, JON LINN, 1943-"
"BREWER, SONNY, 1949-"
"BREWER, THADDEUS CONSTANTINE WILLIS, 1844-1912"
"BREYER, BERNARD RICH, 1919-1999"
"BRIDGMAN, FREDERICK ARTHUR, 1847-1928"
"BRILES, EVE IDA BARAK, 1948-"
"BRINKLEY, IDALEA CROCKER, 1907-1988"
"BRISTOW, GWEN, 1903-1980"
"BRITTIN, NORMAN AYLSWORTH, 1906-2004"
"BROADUS, ELEANOR BOYCE, 1902-1974"
"BROCK, GEORGE WILLIAM, 1864-1941"
"BROOKINS, DEWEY C., 1904-1982"
"BROOKS, BESSIE ATKINS,1882-1964."
"BROOKS, CHARLES GORDON, 1920-2011"
"BROOKS, OLIVE, 1897-1985"
"BROOKS, SARA, 1911-"
"BROUGHTON, PANTHEA REID"
"BROUN, WILLIAM LE ROY, 1827-1902"
"BROWDER, JOHN GLEN, 1943-"
"BROWN, ANNIE FINLEY GREENE, 1855-1923"
"BROWN, DAVID BRUCE, 1943-"
"BROWN, DONALD, 1936-"
"BROWN, EMILY (Pseudonym)"
"BROWN, JOE DAVID, 1915-1976"
"BROWN, LOIS L.,  1908-2008."
"BROWN, LOU, 1898-1982"
"BROWN, MARY VIRGINIA POUNDS, 1916-2014"
"BROWN, MARY WARD, 1917-2013"
"BROWN, MILTON PERRY, JR., 1928-"
"BROWN, STEVEN FORD, 1952-"
"BROWN, STEVEN PRESTON, 1964-"
"BROWN, WALLACE LAMAR, 1926-"
"BROWN, WILBURT SCOTT, 1900-1968"
"BROWN, WILLIAM GARROTT, 1868-1913"
"BROWN, WILLIAM LeROY"
"BROWNE, DUNNE (Pseudonym)"
"BROWNE, RAY BROADUS, 1922-2009"
"BROWNELL, BLAINE ALLISON, 1942-"
"BROWNING, AL, 1950-2002"
"BRUCE, WENDY REED"
"BRUCE, WILLIAM HERSCHEL, 1856-1943"
"BRUNHOUSE, ROBERT LEVERE, 1908-1996"
"BRUNSON, MARION BAILEY, 1931-2007"
"BRUNSON, MAY AUGUSTA, 1909-1970"
"BRYAN, JAMES ALEXANDER, 1863-1941"
"BRYANT, PAUL WILLIAM (BEAR), 1913-1983"
"BRYANT, SPURGEON QUINTON, 1905-1996"
"BUCHER, GEORGE CURTIS, 1925-2008"
"BUCK, JANIE BROWN, 1931-"
"BUCK, WILLIAM PETTUS, 1928-"
"BUFFETT, JIMMY, 1946-"
"BULLARD, ROBERT LEE, 1861-1947"
"BULLOCK-WILLIS, VIRGINIA, 1878-1965"
"BUNCE, WILLIAM HARVEY, 1903-2001"
"BURCHARD, ERNEST F., 1875-1961"
"BURGHARD, AUGUST, 1901-1987"
"BURKART, FRANCES CAROLYN LEE, 1916-2007"
"BURKE, ARTHUR DEVRIES, 1893-1950"
"BURKE, JOHN JOSEPH, JR., 1942-"
"BURKE, MALCOLM CLAYTON, JR., 1879-1963"
"BURKHARDT, ERDMANN WALTER, 1894-1977"
"BURNETT, LONNIE ALEXANDER, 1958-"
"BURNETTE, OLLEN LAWRENCE, JR., 1927-"
"BURNS, CRANFORD HERMAN, 1907-1996"
"BURNS, JEREMIAH M., 1887-1967."
"BUSBY, ROSA LEE, 1907-1992"
"BUSCH, FRANCIS XAVIER, 1879-1975"
"BUSH, ANNIE LOUISE RYDER, 1896-1985."
"BUSH, JOHN CHARLES, 1938-"
"BUTLER, MARY KIMBRO, 1923-"
"BUTTERFIELD, MARVIN ELLIS, 1897-1985"
"BUTTERWORTH, EMMA JOSEFA MACALIK, 1928-2003"
"BUTTERWORTH, WILLIAM EDMUND, III, 1929-"
"BUTTS, CHARLES, 1863-1946"
"BUTTS, THOMAS LANE, 1930-"
"BUXTON, CLYNE, 1923-"
"BYNUM, JASPER E., 1839-1923"
"BYNUM, MIKE, 1957-"
"CADENHEAD, IVIE EDWARD, JR., 1923-1985"
"CALDWELL, RONALD JAMES, 1943-"
"CALLAHAN, ALSTON, 1911-2005"
"CALLOWAY, ABRAM ARTEMUS, 1883-1948"
"CALVERT, WILLIAM JONATHAN, JR., 1901-1987"
"CAMBRON, JAMES WILLIAM, 1920-1982"
"CAMPBELL, CHARLES LAWTON, 1896-1980"
"CAMPBELL, DAVIS WRIGHT, SR., 1889-1976"
"CAMPBELL, LESLIE CAINE, 1932-"
"CAMPBELL, WILLIAM EDWARD MARCH, 1893-1954"
"CANNON, JAMES MONROE, III, 1918-2011"
"CANNON, LEE FERRARA, 1918-2014"
"CANNON, RACHEL-DUKE HAMILTON, 1900-1987"
"CANNON, WILLIAM SCHLEVOIGHT, 1918-2012"
"CANTRELL, CLYDE HULL, 1906-2005"
"CAPOTE, TRUMAN, 1924-1984"
"CARGILE, WAYNE CHANDLER, 1933-1995"
"CARGO, ROBERT THOMAS, 1933-2012"
"CARGOE, RICHARD (Pseudonym)"
"CARLISLE, CECIL ALLEN, 1892-1967"
"CARLISLE, HORACE CALLAWAY, 1871-1957"
"CARLSON, WARNER W., 1913-1994."
"CARMER, CARL LAMSON, 1893-1976"
"CARMICHAEL, DANIEL ERSKINE, 1932-"
"CARMICHAEL, EMMETT BRYAN, 1895-1985"
"CARMICHAEL, JOHN LESLIE, 1897-1990"
"CARMICHAEL, OLIVER CROMWELL, 1891-1966"
"CARMICHAEL, OMER, 1893-1960"
"CARMICHAEL, PETER ARCHIBALD, 1897-1981"
"CARMICHAEL, PEYTON HAMILTON, 1940-"
"CARMICHAEL, WAVERLY TURNER, 1881-1936"
"CARMICHAEL, WILLIAM EDWARD, 1922-2013"
"CARNEY, MARGARET AUBREY TOULMIN, 1921-1989"
"CARR, ARCHIE FAIRLY, 1909-1987."
"CARROLL, MARY TARVER, 1885-1955"
"CARROLL, MERLE TILLEY, 1928-"
"CARROLL, SARA NEWTON, 1926-"
"CARTER, ASA EARL, 1925-1979"
"CARTER, FORREST see CARTER, ASA EARL"
"CARTER, FRANCES TUNNELL, 1922-"
"CARTER, JOHN THOMAS, 1921-"
"CARVER, GEORGE WASHINGTON, 1864-1943"
"CASEY, ALBERT EUGENE, 1903-1982"
"CASEY, RON, 1951-2000"
"CASH, McKINLEY, 1897-1988"
"CASH, WILLIAM McKINLEY, 1930-2004"
"CASON, CLARENCE, 1898-1935"
"CATCHINGS, WADDILL, 1879-1967"
"CATER, SILAS DOUGLASS, 1923-1995"
"CATHER, JAMES PAT, 1947-"
"CATHER, WILLIAM HARLOW, 1868-1935"
"CATHER, WILLIAM HEATH, 1918-2016"
"CATTS, SAMUEL WALKER, 1876-1960"
"CAYCE, EDGAR,  1877-1945"
"CERTAIN, GENI,"
"CHAMBERS, JEFFERSON AVERY, 1886-1959"
"CHAMBERS, JOSEPH VERNON, 1893-1981"
"CHAMBERS, NELLA JEAN, 1913-1959"
"CHAMBERS, WALLACE JEROME, 1862-1954"
"CHANDLER, JEROME GREER, 1948-"
"CHANDLER, WILLIAM TEMPLE HATCHETT, 1881-1967"
"CHAPMAN, ELIZABETH HUMES,1883-1967"
"CHAPMAN, HERMAN HOLLIS, 1894-1977"
"CHAPMAN, KATHARINE HOPKINS, 1873-1930"
"CHAPMAN, ROBERT BERRIEN, 1918-2014"
"CHAPPELL, CLOVIS GILLHAM, 1882-1972"
"CHAPPELL, GORDON THOMAS, 1911-2002"
"CHASE, RICHARD, 1904-1988"
"CHASTAIN, ELIJAH DENTON, 1925-1989"
"CHAVEZ, JUDY TAYLOR, 1956-"
"CHENEY, ANNE, 1944-2001"
"CHENEY, CORA, 1916-1999"
"CHERASKIN, EMANUEL, 1916-2001"
"CHESNUTT, SAMUEL LEE, 1879-1955"
"CHILDERS, JAMES SAXON, 1899-1965"
"CHILDRESS, MARK, 1957-"
"CHILTON, CLAUDIUS LYSIAS, 1856-1914"
"CHITWOOD, BILLY JAMES, 1931-2008"
"CHITWOOD, MARIE DOWNS, 1918-1999."
"CHRISTENBERRY, DANIEL PINKNEY, 1856-1911"
"CHRISTENBERRY, WILLIAM A., JR., 1936-2016"
"CHRISTIAN, MARIE ROBERTS, 1926-2001"
"CHRISTOPHER, THOMAS WELDON, 1917-2002"
"CHUNG, CHIN OWYEE, 1938-"
"CIRLOT, FELIX LOSSING, 1901-1956"
"CLARK, ELMER TALMAGE, 1886-1966"
"CLARK, GEORGE HUNTINGTON, 1859-1941"
"CLARK, JOHN BUNYAN, 1884-1983"
"CLARK, KATE UPSON, 1851-1935."
"CLARKE, JACQUELYN JOHNSON"
"CLARKE, JOHN HENRIK, 1915-1998"
"CLAY-CLOPTON, VIRGINIA CAROLINE TUNSTALL,  1825-1915"
"CLAYTON, LAWRENCE ANTHONY, 1942-"
"CLEERE, WILLIAM W., 1884-1969"
"CLEM, PAUL LIVINGSTONE, 1913-1999"
"CLEMMONS, GERTRUDE ALEXANDER, 1903-1986"
"CLEVENGER, ERNEST ALLEN, JR., 1929-2014"
"CLIFTON, DIXIE"
"CLINE, CHARLES TERRY, JR., 1935-"
"CLINE, LINDA, 1941-"
"CLINTON, MATTHEW WILLIAM, 1898-1977"
"CLINTON, THOMAS PATRICK, 1859-1935."
"COATS, FLORINE"
"COBB, BUELL E., JR., 1944-"
"COBB, LORETTA DOUGLAS, 1944-"
"COBB, NED, 1885-1973"
"COBB, WILLIAM SLEDGE, 1937-"
"COBBS, ALEATHEA THOMPSON, 1860-1953"
"COCKE, SARAH COBB JOHNSON, 1865-1944"
"COCKE, ZITELLA, 1840-1929"
"COCKRELL, MARIAN BROWN, 1909-1999"
"COGGINS, WILMER JESSE, 1925-2012"
"COHEN, OCTAVUS ROY, 1891-1959"
"COLCORD, BRADFORD CLAUDE, 1897-1953"
"COLEMAN, ELIZABETH TYLER, 1892-1981"
"COLEMAN, JOHN SHIELDS, 1894-1972"
"COLEMAN, WADE HAMPTON, JR., 1904-1973"
"COLEMAN, WILLIAM LAURENCE, 1920-1982"
"COLES, SAMUEL B., 1888-1957"
"COLLEY, JAMES OSCAR, 1875-1958"
"COLLIER, EDWARD TARLETON, 1888-1970"
"COLLINS, CHARLES WALLACE, 1879-1964"
"COLLINS, HENRY BASCOM, 1899-1987"
"COLLINS, MARVA DELOISE NETTLES, 1936-2015."
"COLLINS, WILLARD ANDREW, 1945-"
"COMBS, ELISHA TRAMMELL “TRAM”, 1924-2018"
"COMER, JAMES McDONALD, 1877-1963"
"COMINGS, LYDIA JANE NEWCOMB, 1850-1946"
"CONNELL, LUTHER ALLEN, 1869-1939"
"CONNICK, LUCILLE MALLON"
"CONNICK, LUCILLE SIMMS"
"CONSTANCE, KATE W., 1907-1990"
"CONWELL, HUGH EARLE, 1893-1973"
"COOK,  BILL (WILLIAM JESSE, JR.), 1938-"
"COOK, BEN, 1945-2015"
"COOK, ELLA BOOKER, 1883-1974"
"COOK, FESTUS MALACHI, 1895-1956"
"COOK, JAMES GRAHAM, 1925-1966"
"COOK, ROBERT DANE, 1905-1991"
"COOK, THOMAS H., 1947-"
"COOK, VIRGINIA JAMES, 1916-2009"
"COOMBS, DAVID W., 1939-"
"COOPER, HERSTON MACAGER, 1901-1986"
"COOPER, MATTIE CLAIRE HILL, 1891-1972"
"COOPER, WELDON, 1906-1996"
"COPELAND, CHARLES WESLEY, JR., 1932-2014"
"COPELAND, MILES AXE, JR., 1916-1991"
"CORLEY, ROBERT GAINES, 1948-"
"CORNELIUS, MARY CHILTON CHASE, 1879-1952"
"CORUM, BETTY JO,  1927-1970"
"CORY, MARIELOU ARMSTRONG, 1859-1951"
"COTTEN, NELL WYLLIE, 1908-1997"
"COTTER, PATRICK"
"COTTLE, JOHN, 1952-"
"COUCH, ROBERT HILL, 1937-2013"
"COULTER, HAROLD SYLVESTER, 1914-1977"
"COUNCILL, WILLIAM HOOPER, 1848-1909"
"COUNSELMAN, MARY ELIZABETH, 1911-1994."
"COUNTESS, MARY BIVINS GERON, 1913-1975"
"COVIN, THERON MICHAEL, 1947-"
"COWART, MARGARET IRENE MATTHEWS, 1925-2011"
"COWART, RALPH WALDO, 1890-1974"
"COWLES, MILLY, 1932-"
"COX, LUTHER, 1925-1977"
"COX, NORMAN WADE, 1888-1968"
"COX, OLIVER CROMWELL, 1901-1974"
"COYLE, JAMES EDWIN, 1873-1921"
"COZART, TOCCOA PAGE, 1855-1939"
"CRADDOCK, PATRICIA BLAND, 1938-"
"CRAIG, COLA AMANDA BARR, 1861-1930"
"CRAIGHEAD, ERWIN, 1852-1932"
"CRAIGHEAD, LURA HARRIS, 1858-1926."
"CRAMER, DALE LEWIS, 1924-2015"
"CRANE, MARY POWELL, 1860-"
"CRANE, WALTER RICHARD, 1870-1947"
"CRAVNER, MARIE ALDRICH, 1888-1967"
"CRAVNER, WILLIAM CHARLES, 1883-1955"
"CRAWFORD, ANN CADDELL, 1936-."
"CRAWFORD, ANNIE MELL FAULK, 1911-1997"
"CRAWFORD, CAROLINE"
"CRENSHAW, HERVEY FILES, JR.,1904-1970"
"CRENSHAW, MARY ANN, 1929-"
"CRENSHAW, PAULINE SMITH, 1878-1956"
"CRISPENS, CHARLES GANGLOFF, JR., 1930-1992"
"CROMMELIN, QUENTIN, JR., 1946-"
"CROSS, RANDY KEITH, 1950-"
"CROSSFIELD, RICHARD HENRY, 1868-1951"
"CROW, MATTIE LOU TEAGUE, 1903-1999"
"CROW, PAUL ABERNATHY, JR., 1931-"
"CROWE, MILDRED REGINA, 1911-"
"CRUIKSHANK, GEORGE MARCUS, 1852-1936"
"CRUMPTON, ETHEL HOWARD, 1883-1975."
"CRUMPTON, WASHINGTON BRYAN, 1842-1926"
"CRUSE, IRMA BELLE RUSSELL, 1911-2002"
"CULLENS, FREDERIC BACON, 1863-1938"
"CUMMING, JOHN PALMER, 1893-1932"
"CUMMING, KATE, 1835-1909"
"CUNNINGHAM, ROBERT LOUIS, 1926-"
"CURNUTT, KIRK, 1964-"
"CURRENT-GARCIA, EUGENE, 1908-1995"
"CURRIE, GEORGE WASHINGTON, 1885-1968"
"CURRY, ADRIAN RODERICK, 1908-1991"
"CURRY, JABEZ LAMAR MONROE, 1825-1903"
"CURZON, GRACE ELVINA TRILLIA HINDS, 1879-1958"
"DAHL, EVELYN SMITH,1895-1977"
"DALAND, ROBERT THEODORE, 1919-1994."
"DANGAIX, WILLIAM JOSEPH, 1864-1943"
"DANIEL, ADRIAN GEORGE, 1921-1983"
"DANIEL, THOMAS WALTER, JR., 1922-2014"
"DANTON, EMILY MILLER, 1888-1982."
"DAUGETTE, ANNIE ROWAN FORNEY, 1876-1974."
"DAVIDSON, HENRY DAMON, 1869-1955."
"DAVIDSON, WILLIAM H., 1913-2006."
"DAVIS, ANGELA YVONNE, 1944-"
"DAVIS, CHARLES SHEPARD, 1910-1993."
"DAVIS, DONALD ECHARD, 1916-2007"
"DAVIS, GEORGE JACOB, 1876-1958"
"DAVIS, HARRIET JAMES “JIMMIE” MORROW, 1896-1978"
"DAVIS, HARWELL GOODWIN, 1882-1977"
"DAVIS, MARY EVELINA MOORE, 1844-1909"
"DAVIS, NORAH KNOWLES, 1862-1936."
"DAVIS, NORMAN DUANE, 1928-2011"
"DAVIS, POSEY OLIVER, 1890-1973"
"DAVIS, WILLIAM COLUMBUS, 1910-2003"
"DAVIS, WILLIAM HATCHER, 1939-2017"
"DAVIS, WILLIAM WATSON, 1884-1960"
"DAWKINS, CECIL, 1927-"
"DAWSON, JOHN CHARLES, 1876-1966"
"DAWSON, LEMUEL ORAH, 1865-1938"
"DAY, JAMES SANDERS, 1956-"
"DAY, MILDRED LEAKE, 1929-"
"DE COTTES, NINA BROWNE, 1858-1936"
"De LEON, THOMAS COOPER, 1839-1914"
"DEAGON, ANN FLEMING, 1930-"
"DEAL, BABS HODGES, 1929-2004."
"DEAL, BORDEN, 1922-1985"
"DEAN, BLANCHE EVANS, 1892-1974"
"DEAVER, MARY JO BLAIR, 1938-"
"DEDERER, JOHN MORGAN, 1951-"
"DeFOREST, LEE, 1873-1961"
"DeJARNETTE, DAVID LLOYD, 1907-1991"
"DELANEY, THOMAS CALDWELL, JR., 1918-2007"
"DELBENE, RONALD NORMAN, 1942-"
"DeLOACH, ALTHA THOMPSON, 1915-2006"
"DELPAR, HELEN VICTORIA, 1936-2018"
"DENSON, JOHN VERNON, 1885-1940."
"DENTON, JEREMIAH ANDREW, JR., 1924-2014"
"DICKINSON, ARTHUR TAYLOR, JR., 1925-1977"
"DICKINSON, CHARLES HENRY, 1857-1938"
